Year,Final_Grade,Subjects_Failed,Homework_Question_1,Homework_Question_2,Homework_Question_3,Time_Allocation_Question_1,Time_Allocation_Question_2,Time_Allocation_Question_3,Reading_and_Note_Taking_Question_1,Reading_and_Note_Taking_Question_2,Reading_and_Note_Taking_Question_3,Study_Period_Procedures_Question_1,Study_Period_Procedures_Question_2,Study_Period_Procedures_Question_3,Written_Works_Question_1,Written_Works_Question_2,Written_Works_Question_3,Examination_Question_1,Examination_Question_2,Examination_Question_3
3,2.86,0,4.0,1.0,4.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,1.0,4.0,4.0,1.0,4.0,4.0,4.0
3,2.89,1,3.0,3.0,1.0,4.0,2.0,2.0,1.0,2.0,1.0,3.0,3.0,2.0,2.0,1.0,3.0,3.0,4.0,2.0
1,2.2,0,1.0,1.0,2.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,4.0,3.0,3.0,4.0,4.0,3.0,1.0
2,2.07,0,3.0,4.0,3.0,2.0,2.0,3.0,2.0,2.0,4.0,1.0,4.0,4.0,1.0,2.0,3.0,4.0,4.0,1.0
4,2.3,0,4.0,3.0,4.0,3.0,4.0,1.0,4.0,1.0,2.0,4.0,1.0,2.0,1.0,2.0,4.0,4.0,3.0,3.0
4,2.45,0,4.0,3.0,4.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,4.0,1.0,2.0,4.0,2.0,1.0,2.0
4,2.05,0,2.0,4.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,3.0,4.0,1.0,3.0,1.0,2.0,1.0,3.0,2.0
2,2.76,1,,,,,,,,,,,,,,,,,,
4,2.55,1,1.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,4.0,1.0,2.0,4.0,1.0,2.0,1.0,1.0,3.0,3.0
1,2.2,0,2.0,4.0,3.0,3.0,1.0,4.0,1.0,4.0,4.0,4.0,1.0,1.0,2.0,3.0,1.0,3.0,3.0,4.0
3,2.61,0,2.0,1.0,1.0,4.0,4.0,3.0,3.0,1.0,3.0,1.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0
1,1.7,0,3.0,2.0,2.0,2.0,4.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,1.0,1.0,4.0,1.0,1.0,4.0
1,2.79,1,3.0,3.0,1.0,1.0,4.0,2.0,1.0,4.0,4.0,4.0,4.0,3.0,2.0,1.0,4.0,3.0,1.0,3.0
3,2.36,1,,,,,,,,,,,,,,,,,,
3,1.79,0,2.0,1.0,2.0,1.0,4.0,4.0,4.0,1.0,2.0,4.0,2.0,4.0,3.0,2.0,2.0,2.0,2.0,3.0
2,2.33,1,2.0,3.0,1.0,2.0,1.0,2.0,4.0,2.0,2.0,3.0,2.0,4.0,1.0,3.0,3.0,1.0,3.0,2.0
1,1.91,0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,3.0,3.0,2.0,4.0,2.0,1.0,1.0,4.0,3.0,3.0
4,2.2,0,2.0,3.0,3.0,3.0,2.0,4.0,1.0,1.0,3.0,3.0,4.0,3.0,1.0,4.0,4.0,1.0,2.0,4.0
2,2.48,0,3.0,1.0,2.0,3.0,4.0,1.0,3.0,1.0,4.0,3.0,2.0,3.0,1.0,4.0,4.0,1.0,4.0,3.0
1,3.48,1,3.0,3.0,3.0,3.0,4.0,4.0,3.0,1.0,2.0,2.0,2.0,1.0,4.0,3.0,2.0,1.0,3.0,4.0
1,2.43,0,4.0,4.0,1.0,1.0,3.0,1.0,1.0,3.0,4.0,2.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0
3,3.21,2,3.0,3.0,1.0,3.0,2.0,3.0,1.0,2.0,2.0,3.0,1.0,1.0,3.0,2.0,4.0,3.0,4.0,1.0
2,2.84,2,1.0,4.0,3.0,3.0,2.0,4.0,3.0,3.0,1.0,3.0,4.0,2.0,1.0,3.0,2.0,3.0,1.0,3.0
4,2.4,0,3.0,3.0,2.0,1.0,2.0,3.0,3.0,1.0,2.0,1.0,3.0,3.0,2.0,3.0,4.0,3.0,4.0,2.0
2,2.67,2,4.0,2.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,1.0,3.0,3.0,1.0,1.0,2.0,1.0,1.0,3.0
3,3.07,2,4.0,1.0,4.0,3.0,4.0,3.0,2.0,4.0,4.0,4.0,2.0,1.0,1.0,4.0,2.0,3.0,3.0,2.0
4,2.25,0,2.0,1.0,4.0,1.0,1.0,2.0,3.0,3.0,3.0,4.0,1.0,3.0,1.0,1.0,2.0,4.0,3.0,1.0
1,2.12,0,4.0,3.0,4.0,1.0,3.0,2.0,4.0,4.0,1.0,1.0,4.0,2.0,1.0,2.0,2.0,3.0,3.0,4.0
1,2.71,0,3.0,1.0,3.0,2.0,4.0,3.0,1.0,3.0,4.0,4.0,4.0,1.0,1.0,4.0,2.0,4.0,1.0,2.0
2,1.76,0,3.0,2.0,3.0,2.0,3.0,4.0,2.0,2.0,2.0,2.0,2.0,1.0,4.0,1.0,3.0,4.0,2.0,3.0
4,2.05,0,3.0,1.0,1.0,4.0,2.0,3.0,2.0,3.0,2.0,3.0,4.0,4.0,3.0,4.0,1.0,3.0,4.0,2.0
3,2.25,1,3.0,2.0,3.0,1.0,3.0,1.0,4.0,3.0,1.0,1.0,1.0,3.0,2.0,4.0,3.0,1.0,3.0,3.0
1,2.93,1,4.0,4.0,4.0,3.0,1.0,1.0,3.0,4.0,4.0,4.0,4.0,2.0,1.0,4.0,4.0,4.0,2.0,2.0
4,3.1,1,3.0,2.0,2.0,2.0,2.0,4.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,4.0,1.0,1.0,1.0,4.0
3,3.25,3,2.0,3.0,4.0,3.0,2.0,3.0,3.0,2.0,4.0,2.0,1.0,4.0,3.0,2.0,2.0,4.0,3.0,4.0
1,1.89,0,3.0,3.0,2.0,4.0,4.0,2.0,4.0,2.0,2.0,3.0,4.0,3.0,2.0,1.0,3.0,3.0,4.0,3.0
3,2.43,1,2.0,4.0,1.0,4.0,2.0,3.0,1.0,2.0,2.0,1.0,2.0,4.0,4.0,1.0,3.0,2.0,3.0,4.0
3,2.89,0,2.0,2.0,3.0,1.0,4.0,4.0,2.0,4.0,4.0,2.0,2.0,3.0,2.0,4.0,2.0,4.0,2.0,2.0
2,2.24,0,,,,,,,,,,,,,,,,,,
3,2.46,1,4.0,4.0,2.0,1.0,2.0,3.0,3.0,2.0,3.0,3.0,1.0,3.0,3.0,4.0,4.0,3.0,4.0,1.0
1,3.62,2,1.0,4.0,2.0,2.0,1.0,2.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,1.0,3.0,2.0,2.0
2,2.75,2,4.0,4.0,3.0,3.0,2.0,2.0,1.0,4.0,4.0,4.0,4.0,3.0,2.0,2.0,4.0,3.0,1.0,2.0
1,2.61,0,2.0,2.0,1.0,3.0,4.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,3.0,4.0
1,3.2,0,1.0,1.0,3.0,1.0,2.0,4.0,2.0,4.0,3.0,4.0,3.0,3.0,1.0,2.0,4.0,3.0,3.0,1.0
3,1.93,0,4.0,4.0,3.0,3.0,1.0,1.0,3.0,3.0,2.0,3.0,2.0,4.0,3.0,4.0,1.0,2.0,1.0,4.0
2,1.8,0,3.0,1.0,4.0,4.0,3.0,1.0,2.0,4.0,1.0,2.0,1.0,2.0,4.0,1.0,4.0,4.0,2.0,4.0
2,2.73,1,1.0,4.0,4.0,1.0,1.0,3.0,2.0,1.0,3.0,2.0,4.0,4.0,2.0,2.0,1.0,1.0,4.0,4.0
2,2.84,1,3.0,2.0,2.0,3.0,1.0,1.0,4.0,4.0,3.0,4.0,4.0,2.0,1.0,3.0,3.0,4.0,3.0,4.0
3,1.96,0,1.0,2.0,3.0,2.0,3.0,2.0,3.0,4.0,4.0,3.0,1.0,3.0,4.0,1.0,3.0,2.0,3.0,3.0
3,2.79,2,3.0,4.0,2.0,4.0,2.0,2.0,2.0,4.0,1.0,4.0,1.0,3.0,2.0,1.0,1.0,4.0,4.0,4.0
3,2.43,1,3.0,4.0,4.0,3.0,4.0,2.0,2.0,2.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,1.0,3.0,3.0
1,3.57,2,3.0,2.0,4.0,1.0,3.0,3.0,4.0,1.0,2.0,2.0,3.0,3.0,1.0,1.0,4.0,4.0,4.0,3.0
4,2.45,1,1.0,2.0,2.0,2.0,3.0,2.0,3.0,4.0,2.0,1.0,4.0,2.0,1.0,4.0,1.0,2.0,4.0,2.0
2,2.59,1,,,,,,,,,,,,,,,,,,
4,2.15,0,,,,,,,,,,,,,,,,,,
4,2.0,0,,,,,,,,,,,,,,,,,,
1,2.54,0,,,,,,,,,,,,,,,,,,
2,2.13,1,2.0,1.0,4.0,1.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,3.0,4.0,3.0,4.0,2.0,3.0,3.0
4,2.75,0,1.0,3.0,4.0,1.0,4.0,2.0,1.0,4.0,1.0,2.0,1.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0
1,3.66,1,3.0,3.0,3.0,3.0,4.0,2.0,2.0,2.0,4.0,2.0,4.0,1.0,3.0,2.0,2.0,4.0,3.0,2.0
1,1.84,0,3.0,1.0,4.0,2.0,4.0,3.0,1.0,1.0,4.0,3.0,4.0,4.0,3.0,4.0,1.0,2.0,4.0,2.0
3,2.04,0,2.0,2.0,1.0,3.0,3.0,3.0,2.0,4.0,1.0,2.0,2.0,3.0,2.0,3.0,4.0,3.0,3.0,3.0
4,2.1,0,1.0,2.0,4.0,1.0,4.0,3.0,4.0,3.0,2.0,4.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0
3,2.32,1,4.0,2.0,1.0,4.0,4.0,1.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,2.0,2.0,1.0,3.0,1.0
2,1.93,0,1.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,4.0,3.0,3.0,1.0,1.0,4.0
3,2.96,1,,,,,,,,,,,,,,,,,,
2,2.07,0,4.0,4.0,4.0,2.0,2.0,4.0,4.0,3.0,2.0,2.0,3.0,1.0,4.0,1.0,3.0,1.0,1.0,3.0
1,3.14,2,3.0,3.0,2.0,3.0,4.0,2.0,1.0,3.0,1.0,4.0,2.0,4.0,4.0,2.0,4.0,1.0,3.0,4.0
4,3.05,1,,,,,,,,,,,,,,,,,,
4,3.0,1,1.0,3.0,4.0,2.0,4.0,1.0,1.0,3.0,1.0,4.0,4.0,2.0,2.0,1.0,2.0,4.0,2.0,1.0
1,3.25,2,4.0,4.0,3.0,4.0,2.0,2.0,1.0,2.0,2.0,4.0,1.0,2.0,4.0,2.0,4.0,1.0,3.0,4.0
3,2.86,2,3.0,4.0,2.0,1.0,4.0,2.0,4.0,3.0,4.0,1.0,3.0,2.0,1.0,3.0,3.0,1.0,2.0,4.0
