Year,Final_Grade,Subjects_Failed,Homework_Question_1,Homework_Question_2,Homework_Question_3,Time_Allocation_Question_1,Time_Allocation_Question_2,Time_Allocation_Question_3,Reading_and_Note_Taking_Question_1,Reading_and_Note_Taking_Question_2,Reading_and_Note_Taking_Question_3,Study_Period_Procedures_Question_1,Study_Period_Procedures_Question_2,Study_Period_Procedures_Question_3,Written_Works_Question_1,Written_Works_Question_2,Written_Works_Question_3,Examination_Question_1,Examination_Question_2,Examination_Question_3,Status
1,2.79,1,3.0,3.0,1.0,1.0,4.0,2.0,1.0,4.0,4.0,4.0,4.0,3.0,2.0,1.0,4.0,3.0,1.0,3.0,0
4,3.25,2,3.0,3.0,3.0,4.0,2.0,1.0,1.0,3.0,1.0,2.0,1.0,4.0,2.0,3.0,4.0,1.0,2.0,1.0,0
4,2.35,0,1.0,2.0,4.0,2.0,3.0,4.0,4.0,1.0,2.0,4.0,2.0,2.0,3.0,3.0,1.0,4.0,2.0,4.0,1
2,2.13,1,1.0,1.0,3.0,1.0,4.0,3.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,4.0,1.0,0
3,1.68,0,2.0,3.0,1.0,3.0,2.0,2.0,1.0,2.0,4.0,3.0,4.0,1.0,1.0,4.0,1.0,2.0,3.0,4.0,1
1,2.3,0,2.0,4.0,2.0,2.0,2.0,4.0,4.0,2.0,1.0,1.0,4.0,4.0,2.0,3.0,4.0,2.0,4.0,3.0,1
1,1.84,0,1.0,1.0,4.0,4.0,2.0,3.0,3.0,4.0,2.0,3.0,4.0,3.0,3.0,2.0,3.0,1.0,3.0,3.0,1
3,2.5,0,1.0,3.0,2.0,1.0,4.0,1.0,2.0,4.0,3.0,2.0,1.0,3.0,1.0,3.0,2.0,2.0,2.0,3.0,1
1,2.23,0,3.0,4.0,2.0,3.0,4.0,3.0,2.0,1.0,3.0,4.0,3.0,1.0,3.0,2.0,4.0,1.0,4.0,1.0,1
1,2.48,1,2.0,4.0,4.0,4.0,2.0,2.0,4.0,1.0,4.0,3.0,4.0,3.0,2.0,4.0,1.0,3.0,2.0,1.0,0
4,2.95,1,2.0,3.0,4.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,3.0,3.0,4.0,2.0,4.0,4.0,0
3,1.93,0,4.0,2.0,3.0,4.0,4.0,2.0,1.0,3.0,1.0,4.0,1.0,2.0,4.0,4.0,2.0,3.0,2.0,4.0,1
2,2.24,0,3.0,3.0,1.0,1.0,3.0,2.0,4.0,2.0,3.0,2.0,3.0,1.0,3.0,2.0,1.0,2.0,4.0,1.0,1
1,2.43,0,4.0,4.0,1.0,1.0,3.0,1.0,1.0,3.0,4.0,2.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1
1,2.96,0,3.0,1.0,2.0,2.0,3.0,3.0,4.0,2.0,2.0,1.0,1.0,4.0,3.0,2.0,4.0,1.0,2.0,2.0,1
4,2.6,1,4.0,1.0,2.0,3.0,3.0,1.0,1.0,1.0,4.0,2.0,4.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,0
3,2.89,1,3.0,3.0,2.0,4.0,3.0,1.0,2.0,4.0,2.0,4.0,4.0,4.0,3.0,2.0,2.0,1.0,2.0,4.0,0
2,2.07,0,4.0,4.0,4.0,2.0,2.0,4.0,4.0,3.0,2.0,2.0,3.0,1.0,4.0,1.0,3.0,1.0,1.0,3.0,1
4,2.2,0,1.0,2.0,1.0,2.0,2.0,3.0,2.0,2.0,3.0,1.0,1.0,2.0,4.0,4.0,4.0,3.0,3.0,2.0,1
1,1.77,0,2.0,2.0,1.0,3.0,4.0,4.0,4.0,2.0,3.0,4.0,4.0,1.0,2.0,1.0,3.0,4.0,2.0,4.0,1
1,2.46,0,1.0,1.0,2.0,1.0,3.0,3.0,2.0,1.0,1.0,4.0,2.0,4.0,2.0,4.0,2.0,3.0,1.0,1.0,1
4,2.9,2,2.0,1.0,2.0,3.0,1.0,1.0,3.0,2.0,2.0,3.0,4.0,2.0,2.0,4.0,2.0,1.0,4.0,1.0,0
4,2.85,1,3.0,4.0,1.0,2.0,4.0,2.0,1.0,2.0,3.0,4.0,3.0,2.0,3.0,4.0,4.0,4.0,2.0,3.0,0
4,2.45,0,4.0,3.0,4.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,4.0,1.0,2.0,4.0,2.0,1.0,2.0,1
2,3.38,3,2.0,4.0,1.0,2.0,1.0,1.0,3.0,1.0,3.0,2.0,2.0,4.0,3.0,1.0,4.0,4.0,4.0,3.0,0
4,3.45,1,2.0,3.0,3.0,2.0,3.0,2.0,4.0,3.0,2.0,1.0,3.0,1.0,3.0,1.0,1.0,2.0,4.0,2.0,0
2,2.88,2,4.0,2.0,3.0,2.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,3.0,2.0,3.0,2.0,3.0,1.0,0
